@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 38\nSize of the tree: 75\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

CleanData,4,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,13,28,0,31.707317,68.292683,0,0,0.260934,0.360495,100,100,96.488096,96.488096,0,2.353368,2.353368,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.317073,0.317073,0.682927,0.682927,?,0.317073,?,?,0.5,0.220702,?,0.317073,0,0,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
CleanData,4,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,13,28,0,31.707317,68.292683,0,0,0.260934,0.360495,100,100,96.488096,96.488096,0,2.353368,2.353368,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.317073,0.317073,0.682927,0.682927,?,0.317073,?,?,0.5,0.220702,?,0.317073,0,0,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
CleanData,4,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,13,28,0,31.707317,68.292683,0,0,0.260934,0.360495,100,100,96.488096,96.488096,0,2.353368,2.353368,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.317073,0.317073,0.682927,0.682927,?,0.317073,?,?,0.5,0.220702,?,0.317073,0.001,0.001,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
CleanData,4,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,13,27,0,32.5,67.5,0,0,0.260045,0.359112,100,100,93.124154,93.124154,0,2.328104,2.328104,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.325,0.325,0.675,0.675,?,0.325,?,?,0.5,0.2275,?,0.325,0,0.001,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,4,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261149,0.360831,100,100,94.095276,94.095276,0,2.352382,2.352382,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.22,?,0.3,0.001,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,4,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261329,0.361111,100,100,94.417665,94.417665,0,2.360442,2.360442,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.21875,?,0.3,0,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,4,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261329,0.361111,100,100,94.417665,94.417665,0,2.360442,2.360442,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.21875,?,0.3,0,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,4,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.263131,0.363898,100,100,96.980416,96.980416,0,2.42451,2.42451,0,0,0,0,0,0,0,0,1,30,1,10,?,0,?,?,0.5,0.25,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.20625,?,0.3,0,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,4,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.263131,0.363898,100,100,96.980416,96.980416,0,2.42451,2.42451,0,0,0,0,0,0,0,0,1,30,1,10,?,0,?,?,0.5,0.25,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.20625,?,0.3,0,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,5,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,12,29,0,29.268293,70.731707,0,0,0.262718,0.363268,100,100,98.883473,98.883473,0,2.411792,2.411792,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.292683,0.292683,0.707317,0.707317,?,0.292683,?,?,0.5,0.208804,?,0.292683,0.001,0,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
