@relation CleanData

@attribute huml numeric
@attribute humw numeric
@attribute ulnal numeric
@attribute ulnaw numeric
@attribute tibl numeric
@attribute tibw numeric
@attribute type {SW,W,T,R,P,SO}

@data
37.69,4.18,43.3,3.38,49.15,2.37,T
31.26,3.6,35.24,2.91,39.04,2.32,T
30.97,3.65,36.47,2.96,37.41,1.99,T
30.31,3.36,34.83,2.49,34.16,1.88,T
32.02,2.99,27.7,2.38,53.33,2.71,T
32.34,3.17,29.05,2.36,55.36,2.51,T
30.88,3.32,26.93,2.41,53.59,2.62,T
32.11,3.47,28.48,2.62,56.16,3,T
32.61,2.98,28.37,2.49,48.92,2.39,T
34.63,3.1,26.87,2.35,53.98,2.79,T
32.28,3.34,28.79,2.45,52.93,2.5,T
92.82,9.6,100.58,7.57,118.24,6.61,T
55.62,4.79,52.09,4.26,86.17,4.76,T
32.68,3.26,29.02,2.36,56.45,2.5,T
34.24,3.39,30.65,2.63,53.77,2.72,T
118.75,11.9,104.68,4.77,183,9.69,T
127,13.79,123.27,9.42,189,10.03,T
39.64,4.07,37.32,2.98,64.45,3.37,T
57.48,4.74,69.06,4.08,80.16,4.25,R
62.49,4.75,69.66,3.99,77.6,4.26,R
54.47,4.37,63.29,3.32,64.25,3.15,R
57.56,4.33,67.15,3.54,75.03,3.71,R
52.88,4.47,62.02,3.76,63.42,3.4,R
110.87,8.26,129.05,6.78,112.36,7.18,R
117.37,9.25,136.52,7,119.17,7.89,R
102.35,7.01,118.67,5.72,104.01,6.12,R
108.37,7.49,129.39,6,113.39,6.38,R
81.39,5.77,94.83,4.8,91.63,5.38,R
83.13,5.8,95.42,4.4,90.6,4.95,R
89.63,6.44,104.11,5.26,97.78,5.81,R
89.05,6.28,102.09,5.37,96.12,5.7,R
98.94,7.13,119.72,5.6,106.5,5.8,R
121.59,8.17,148.52,6.44,116.71,6.87,R
130.06,9.51,155,7.18,125.53,7.87,R
116.41,6.85,131,5.8,119.87,6.1,R
107.06,8.62,129.08,6.48,100.06,6.1,R
120,8.38,130,6.41,116.17,7.52,R
85.45,6.16,99.32,4.81,69.15,4.21,R
83.02,5.95,96.97,4.38,66.6,4.06,R
71.97,6.18,84.68,5.14,82.93,4.63,R
82.58,7.32,97.52,6.19,91.66,5.65,R
45.37,3.72,51.37,3.16,53.23,2.68,R
41.65,3.62,46.01,3.03,48.11,2.55,R
42.46,3.49,47.34,3.27,49.17,2.68,R
145,10.37,188,7.92,125.48,7.9,R
142,9.6,82,7.31,124.98,7.05,R
145,10.31,188,7.85,126.54,7.13,R
57.41,3.82,70.39,3.08,66.58,3.33,R
50.78,3.15,62.89,2.69,62.53,2.75,R
119.12,7.57,137.37,6.06,115.02,6.22,R
117.43,7.13,136.26,5.51,115.3,5.45,R
116.85,7.43,134.8,6.19,112.66,5.94,R
119.58,8.04,138.39,6.25,115.9,6.07,R
126.88,8.01,148.47,6.59,124.05,6.58,R
47.16,2.82,55.41,2.37,53.22,2.29,R
44.91,2.54,48.45,2.14,50.87,2.27,R
61.6,3.42,66.26,2.59,63.03,2.87,R
94.03,5.88,104.09,4.32,96.6,4.87,R
90.13,5.92,104.28,4.4,94.99,4.42,R
100.29,6.33,112.19,4.69,102.54,5.33,R
96.46,5.71,111.85,4.2,99.16,4.56,R
93.37,5.33,102.65,3.9,101.24,4.57,R
99.69,6.09,111,4.26,104.72,4.92,R
34.84,2.44,40.68,2.04,42.48,2.45,R
33.12,2.4,39.85,1.8,38.99,2.15,R
35.63,2.4,42.67,2.02,42.64,2.46,R
29.26,2.66,27.63,2.23,38.9,1.81,P
30.6,2.45,25.9,1.87,50.25,1.88,P
30.25,2.29,25.14,1.87,50.98,2,P
42.52,2.99,36.73,2.91,81.57,3.71,P
45.6,3.35,38.73,3.52,83.59,3.72,P
43.97,3.54,38.38,3.14,83.15,4.12,P
46.38,3.41,39.8,3.48,85.88,4.04,P
45.57,4.64,57.13,2.93,36.95,1.96,P
33.81,2.8,42.82,2.22,26.28,1.31,P
31.72,2.64,40,1.99,32.21,1.62,P
9.85,2.88,14.73,1.73,20.89,1.25,P
44.47,4.24,55.77,3.43,52.8,2.82,P
18.46,1.79,21.12,1.47,26.33,1.05,P
18.55,2.12,21.08,1.41,25.97,1.17,P
27.57,2.67,31.6,2.12,30.42,1.58,P
27.07,2.66,31.95,1.87,26.38,1.33,P
26.92,2.73,31.54,2.01,26.68,1.35,P
49.12,3.59,60.95,2.99,37.29,1.81,P
48.8,3.78,59.47,3.17,36.01,1.63,P
47.17,3.96,56.57,2.87,50.66,2.49,P
37.86,3.24,46.72,2.63,42.49,1.89,P
39.98,3.34,47.5,2.64,42.96,2.2,P
44.18,3.88,50.72,3.49,50.89,3.61,P
41.36,3.52,49.34,2.83,44.31,2.43,P
41.66,3.56,48.82,2.8,46.19,2.31,P
31.28,2.83,36.88,2.2,32.6,1.68,P
34.07,3.26,41.34,2.62,36.35,2.13,P
33.79,3.04,42.13,2.56,34.74,2.07,P
34.15,2.98,40.67,2.45,37.35,1.93,P
36.88,3.18,46.28,2.77,39.44,2.03,P
28.55,2.65,33.74,2.38,29.21,1.64,P
30.51,2.69,35.33,2.29,32.26,1.65,P
29.81,2.59,35.05,2.28,31.89,1.84,P
27.72,2.67,32,2.21,32.5,1.76,P
29.14,2.75,32.91,2.16,33.89,1.8,P
27.85,2.65,32.62,2.05,33.62,1.91,P
20.06,1.73,23.15,1.49,24.71,1.29,P
41.6,3.74,56.5,3.02,62.9,2.82,P
29.61,2.41,33.93,2.02,51.64,2.01,SO
30.28,2.89,35.37,2.15,53.36,2.31,SO
28.1,2.44,32.5,2.19,50.47,2.21,SO
28.66,2.48,33.24,2.02,50.64,2.05,SO
36.36,3.31,40.51,2.56,53.96,2.63,SO
37.05,3.48,41.41,2.91,61.65,2.89,SO
41.19,3.78,43.24,2.91,64.68,2.99,SO
37.71,3.55,42.47,2.89,62.45,3.06,SO
38.66,3.83,43.71,3.02,64.97,2.95,SO
21.07,2,25.36,1.7,26.28,1.35,SO
21.46,1.97,25.44,1.73,27.01,1.56,SO
22.13,2.1,26.53,1.78,26.12,1.52,SO
21.82,2,26.73,1.77,25.82,1.39,SO
16.5,1.46,19.44,1.42,26.21,1.17,SO
15.97,1.47,19.91,1.32,25.99,1.14,SO
17.13,1.49,20.38,1.33,27.96,1.2,SO
15.46,1.46,19.12,1.36,26.25,1.22,SO
21.68,1.93,24.84,1.86,35.22,1.57,SO
22.14,1.91,25.71,1.74,35.44,1.42,SO
22.26,1.77,24.58,1.67,36.06,1.43,SO
25.4,1.84,24.18,1.73,38.97,1.54,SO
24.43,2.08,25.98,1.84,39.14,1.9,SO
20.36,1.91,21.92,1.54,36.81,1.56,SO
21.31,2.24,26.66,1.87,30.64,1.43,SO
20.97,2.16,26.27,1.85,31.01,1.23,SO
21.04,2.12,26.27,1.81,29.5,1.39,SO
25.36,2.36,28.04,1.68,35.58,1.42,SO
23.88,2.4,29.16,1.74,37.24,1.54,SO
24.56,2.25,28.53,1.94,38.27,1.62,SO
24.03,2.37,29.26,1.94,37.13,1.73,SO
18.12,1.61,22.32,1.38,26.64,1.1,SO
18.69,1.75,22.76,1.57,26.6,1.05,SO
18.94,1.83,22.95,1.69,28.59,1.16,SO
27.9,2.51,31.56,2.07,45.9,2.09,SO
26.49,2.38,30.38,2.04,42.19,1.87,SO
26.75,2.39,30.48,1.97,44.2,1.79,SO
27.06,2.5,30.28,2.1,46.02,1.76,SO
19,1.68,24,1.45,27.19,1.01,SO
19.34,1.69,24.89,1.51,28.63,1.22,SO
20.19,1.85,26.41,1.53,29.66,1.15,SO
21.85,2.06,25.9,1.75,34.26,1.43,SO
20.8,1.95,23.44,1.6,35.52,1.45,SO
20.62,1.87,23.45,1.75,34.64,1.76,SO
22.35,2.01,25.13,1.85,36.5,1.71,SO
26.23,2.3,30.53,2.15,41.33,1.71,SO
26.32,2.34,30.17,2.18,41.6,1.77,SO
25.57,2.18,29.05,2.15,40.9,1.83,SO
24.67,1.9,27.06,2.1,39.72,1.99,SO
30.26,2.54,34.8,2.09,48.67,2.16,SO
29.38,2.44,29.84,2.44,47.18,2.19,SO
30.1,2.49,34.69,2.26,49.08,2.1,SO
31.14,2.87,37.34,2.81,48.65,2.3,SO
32.08,2.7,38.3,2.63,49.85,1.99,SO
32.31,3,39.03,2.73,51.04,2.4,SO
23.99,2.19,28.88,1.96,38.98,1.83,SO
22.25,1.92,25.93,1.61,38.48,1.46,SO
21.88,2.02,25.45,1.68,37.26,1.38,SO
26.71,2.32,31.71,1.9,47.91,2.08,SO
29.18,2.39,34.32,2.04,49.66,1.96,SO
25.78,2.21,28.16,1.84,42.34,1.58,SO
26.09,2.17,28.99,1.77,46.64,2.04,SO
28.14,2.35,30.63,1.86,49.07,2.07,SO
18.68,1.62,24.78,1.4,29.67,1.06,SO
18.3,1.69,22.97,1.48,36.39,1.24,SO
20.64,1.97,26.1,1.61,40.19,1.47,SO
19.4,1.88,25.08,1.57,36.89,1.31,SO
17.32,1.83,24.34,1.36,37.26,1.3,SO
21.38,1.87,27.42,1.7,37.88,1.33,SO
20.08,2.07,25.78,1.81,38.3,1.35,SO
20.1,1.89,25.57,1.8,37.05,1.42,SO
19.96,1.88,25.19,1.66,36.65,1.4,SO
30.21,2.97,37.31,2.58,47.98,1.98,SO
29.52,2.92,37.47,2.37,47.49,1.98,SO
16.93,1.52,19.49,1.12,28.89,1.08,SO
13.31,1.17,16.47,1.06,22.47,0.95,SO
15.24,1.4,18.37,1.13,25.57,0.91,SO
13.48,1.27,16,1,23.12,0.88,SO
13.38,1.14,16.51,1.23,24.91,0.92,SO
13.67,1.27,17.52,1.08,25.47,0.98,SO
14.51,1.49,18.79,1.12,25.85,1,SO
14.62,1.39,19.23,1.12,26.11,1.03,SO
14.88,1.49,19.55,1.15,25.54,0.91,SO
14.61,1.37,20.3,1.23,25.09,0.88,SO
13.52,1.28,17.88,1.07,25.14,1.23,SO
12.69,1.69,17.44,1.16,23.8,0.87,SO
22.26,1.94,27.69,1.71,27.29,1.26,SO
24.84,2.32,28.88,2.01,40.2,1.83,SO
23.52,2.16,29.33,1.72,32.45,1.13,SO
22.55,2.27,28.3,1.76,30.95,1.39,SO
23.94,2.45,27.86,1.95,35.62,1.86,SO
48.2,4.08,61.94,3.75,62.09,3.21,SO
24.28,2.16,30.29,1.91,29.29,1.47,SO
25.24,2.42,32.13,2.1,29.58,1.57,SO
23.9,2.32,28.83,1.67,33.11,1.61,SO
23.82,2.19,29.6,1.88,28.54,1.54,SO
19.63,1.76,23.58,1.33,33.1,1.34,SO
20.43,1.59,22.68,1.39,35.63,1.33,SO
22.19,1.86,24.93,1.52,40.17,1.73,SO
23.27,2,24.8,1.83,41.91,1.67,SO
18.97,1.58,21.26,1.4,36.52,1.52,SO
15.99,1.35,18.32,1.13,30.05,1.23,SO
15.62,1.28,18.52,1.06,28.63,1.03,SO
16.8,1.58,19.77,1.39,29.75,1.18,SO
15.55,1.48,18.93,1.3,31.65,1.14,SO
23.32,2.06,27.9,1.84,34.77,1.42,SO
20.41,1.82,22.66,1.71,29.3,1.21,SO
21.53,1.91,25.3,1.67,34.08,1.33,SO
22.84,2.21,27.7,2.06,34.6,1.69,SO
20.95,1.89,24.12,1.66,36.71,1.53,SO
17.3,1.68,20.43,1.33,25.96,0.88,SO
16.86,1.58,20.72,1.36,24.56,0.98,SO
15.7,1.42,18.58,1.2,25.39,0.92,SO
19.54,1.86,23.35,1.47,29.05,1.35,SO
23.27,2.15,27.62,2.16,35.55,1.51,SO
23.04,2.15,28.29,1.94,33.41,1.42,SO
21.21,1.88,23.35,1.62,35.02,1.4,SO
21.92,1.8,25.73,1.49,30.47,1.36,SO
12.95,1.16,14.09,1.03,22.13,0.96,SO
13.63,1.16,15.22,1.06,23.13,0.96,SO
17.96,1.63,19.25,1.33,31.25,1.33,SO
19.21,1.64,20.76,1.49,33.21,1.28,SO
18.79,1.63,19.83,1.53,34.45,1.41,SO
20.38,1.78,22.53,1.5,36.09,1.53,SO
17.89,1.44,19.26,1.1,29.81,1.24,SO
